museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
SAMUS,EP,b2329,,w,EPw,104,1+,41.59615385,1,0.84,67.03,70,69.16,60.72,52.28,42.98,40.54,34.79,30.76,27.94,120,24,,
SAMUS,EP,b57218,,w,EPw,109,1+,41.21100917,1,0.86,73.01,74,73.14,64.11,56.23,47.77,37.77,35.38,32.99,29.29,131,26,,
SAMUS,EP,b27319,,w,EPw,110,1+,43.50909091,1,0.89,72.47,75,74.11,65.11,56.49,49.27,42.04,37.94,34.02,30.2,123,30,,
SAMUS,EP,b4388,,w,EPw,109,1+,41.24770642,1,0.91,72.78,77,76.09,67.11,58.44,51.58,46.03,40.43,#VALUE!,#VALUE!,121,26,,
SAMUS,EP,b36187,,w,EPw,100,1+,40.29,1,0.91,70,70,69.09,61.59,52.42,46.05,40.84,36.97,31.83,29.93,,24,,
SAMUS,EP,b4394,,w,EPw,105,1+,40.73333333,1,0.95,72.52,74,73.05,66.91,54.74,50.12,44.89,40.89,36.62,33.65,,27,,
SAMUS,EP,b22930,,w,EPw,108,1+,42.66666667,1,1.11,72.23,74,72.89,65.36,56.39,49.62,42.6,38.79,34.56,30.05,126,25,,
SAMUS,EP,b4389,,w,EPw,102,1+,39.50980392,1,1.13,65.43,68,66.87,60.81,53.36,46.1,39.92,33.77,29.43,25.6,116,24,,
SAMUS,EP,b31159,,w,EPw,110,1+,42.85454545,1,1.13,70.54,73,71.87,62.97,53.95,47.97,42.3,37.58,32.29,29.35,122,25,,
SAMUS,EP,b22929,,w,EPw,107,1+,40.78504673,1,1.2,68.68,71,69.8,61.64,53.01,44.49,38.69,33.92,30.22,26.67,106,28,,
SAMUS,EP,b57217,,w,EPw,106,1+,41.88679245,1,1.26,67.62,69,67.74,60.08,51.69,43.46,37.75,32.54,29.48,26.53,112,24,,
SAMUS,EP,b28294,,w,EPw,107,1+,42.52336449,1,1.3,67.06,70,68.7,60.1,51.92,44.25,38.83,33.57,29.17,25.63,110,23,,
SAMUS,EP,b34124,,w,EPw,103.72,1+,39.9633629,1,1.37,70.1,72,70.63,63.49,55.1,46.93,41.9,36.87,34.04,30.88,112,25,,
SAMUS,EP,b34123,,w,EPw,104,1+,40.04807692,1,1.38,68.92,71,69.62,62.28,52.96,45.22,39.65,36,31.96,27.57,120,25,,
SAMUS,EP,b22924,,w,EPw,106,1+,43.03773585,1,1.56,68.8,72,70.44,64.33,56.23,49.56,41.28,36.53,32.82,29.09,111,25,,
