museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
Healesville,OBP,b00073,1290,c,OBPc,98.91,1+,40.6430088,1,0.94,68.99,71,70.06,62.12,54.08,47.06,42.13,37.7,33.2,29.36,97,26,9.75,6.38
Healesville,OBP,b30989,1805,c,OBPc,112,1+,43.64285714,1,0.94,79.12,81,80.06,71.42,61.68,53.66,47.77,44.5,40.22,36.55,110,32,11.45,6.67
Healesville,OBP,b20911,,c,OBPc,110,1+,45.47272727,1,0.96,73.69,77,76.04,68.44,59.54,52.29,47.36,40.87,37.27,34.02,109,29.5,11.6,7.24
Healesville,OBP,b81866,2751,c,OBPc,116,1+,45.57758621,1,0.99,78.87,81,80.01,72.59,62.24,53.62,46.03,40.68,36.08,32.47,106,31,11.98,7.12
TMAG,OBP,b9180,,c,OBPc,110,1+,44.04545455,1,1.01,74.33,76,74.99,69.38,60.7,51.28,43.03,38.43,34.5,30.3,115,29,,
DPIPWE,OBP,,618,c,OBPc,105,1+,41.2952381,1,1.04,75.7,80,78.96,72.4,63.1,56.57,51.46,45.56,40.39,#VALUE!,106,26,,
TMAG,OBP,b9197,,c,OBPc,111,1+,45.87387387,1,1.05,73.97,77,75.95,68.99,59.3,52.39,47.22,41.85,36.44,33.1,108,27,,
DPIPWE,OBP,,636,c,OBPc,107,1+,39.90566038,1,1.06,62.99,68,66.94,59.28,49.85,43.1,36.8,32.35,23.32,20.25,108,31,10.04,60.08
Healesville,OBP,a91771,1269,c,OBPc,106,1+,43.37735849,1,1.08,74.77,78,76.92,68.94,59.64,53.37,46.83,42.31,36.76,32.22,114,27,12.04,6.56
DPIPWE,OBP,,,c,OBPc,101,,,1,1.08,73.12,75,73.92,66.18,58.78,51.98,45.49,37.46,32.29,#VALUE!,106,29,11.32,6.88
DPIPWE,OBP,A80064,859,c,OBPc,102,1+,43.67647059,1,1.09,76.09,79,77.91,69.13,59.45,52.12,47.23,42.47,38.92,33.87,109,30,,
Healesville,OBP,b40713,1864,c,OBPc,108,1+,45.63963964,1,1.09,73.44,76,74.91,68.42,59.47,52.02,45.51,39.96,35.65,29.71,104,29,12.39,7.12
DPIPWE,OBP,13658,267,c,OBPc,103.6,1+,43,1,1.1,72.62,76,74.9,67.93,60.84,53.51,47.69,43.58,38.76,33.54,108,28,11.37,6.61
Healesville,OBP,b40749,1902,c,OBPc,107,1+,45.3364486,1,1.12,71.78,74,72.88,65.12,56.28,49.29,43.42,38.46,34.99,27.29,,28,11.33,6.7
DPIPWE,OBP,,235,c,OBPc,106.12,1+,42.35770825,1,1.14,75.01,79,77.86,69.36,61.96,53.99,47.59,42.13,38.8,34.57,,27,,
Healesville,OBP,a71491,1067,c,OBPc,104.2,1+,42.0537428,1,1.18,73.61,76,74.82,66.04,57.55,49.67,44.42,39.57,36.04,33.76,108,27,,
DPIPWE,OBP,,,c,OBPc,101,,,1,1.18,68.01,71,69.82,62.82,52.53,46.17,40.41,36.01,32.81,26.22,104,26,9.38,6.7
Healesville,OBP,b30977,1802,c,OBPc,103,1+,44.55339806,1,1.25,70.32,72,70.75,62.31,53.71,45.98,39.62,34.44,30.18,26.84,83,26,10.57,6.66
Healesville,OBP,b40427,1836,c,OBPc,109,1+,43.42201835,1,1.27,75.75,79,77.73,77.29,60.46,53.39,47.08,40.43,35.76,31.86,107,28,11.38,6.7
Healesville,OBP,b00101,1292,c,OBPc,112,1+,45.91071429,1,1.31,75.06,78,76.69,76.87,59.78,52.82,46.81,38.82,34.36,29.9,110,30,10.67,6.61
TMAG,OBP,b9193,,c,OBPc,103,1+,48.40776699,1,1.31,69.84,72,70.69,64.52,55.06,48.51,42.17,37.96,34.69,30.77,93,26,,
Healesville,OBP,b01804,1360,c,OBPc,96,1+,43.17708333,1,1.32,63.2,67,65.68,57.58,49.63,41.52,36.98,31.27,27.46,24.42,,,,6.03
DPIPWE,OBP,17159,919,c,OBPc,104,1+,44.82692308,1,1.37,70.43,76,74.63,64.8,58.9,51.34,45.84,41.52,35.55,#VALUE!,102,28,10.87,6.59
Healesville,OBP,a81707,1207,c,OBPc,111,1+,48.18018018,1,1.38,72.75,76,74.62,65.42,58.03,50.09,43.99,38.77,34.64,30.34,109,31,12.27,7.17
Healesville,OBP,a71674,1091,c,OBPc,107,1+,42.14953271,1,1.4,76.25,80,78.6,70.92,61.82,54.93,47.87,43.81,39.46,34.72,112,29,10.44,7.4
DPIPWE,OBP,13815,227,c,OBPc,103,1+,43.11650485,1,1.43,74.86,78,76.57,68.25,59.18,51.85,45.31,40.37,36.96,32.13,107,28,11.28,6.04
Healesville,OBP,b10089,1383,c,OBPc,107,1+,,1,1.48,76.14,79,77.52,69.64,60.21,51.3,44.45,39.31,35.27,32.17,99,26,10.7,6.73
Healesville,OBP,b40425,1656,c,OBPc,106,1+,41.9245283,1,1.48,77,77,75.52,67.795,60.07,53.73,47.14,41.77,37.39,#VALUE!,106,30,12.13,6.27
DPIPWE,OBP,,765,c,OBPc,101,1+,42.71287129,1,1.54,72.47,76,74.46,65.73,57.45,49.96,44.71,41.16,37.89,32.92,96,27,,
DPIPWE,OBP,10016,106,c,OBPc,105.71,1+,42.73011068,1,1.55,78,78,76.45,67.655,58.86,55.57,46.2,41.92,36.34,35.1,99,29,10.69,6.47
TMAG,OBP,b9189,,c,OBPc,113,1+,46.28318584,1,1.56,76.11,79.5,77.94,70.71,61.55,52.59,43.98,41.42,35.99,31.79,110,32,,
Healesville,OBP,a70905,1047,c,OBPc,101,1+,41.20792079,1,1.58,76.34,79,77.42,70.23,61.97,54.13,48.04,43.72,37.95,35.15,,27,11.69,7.31
DPIPWE,OBP,,885,c,OBPc,107,1+,47.58878505,1,1.58,74.27,77,75.42,69.44,58.76,52.2,46.97,40.94,34.75,30.43,109,29,10.64,6.71
DPIPWE,OBP,17643,841,c,OBPc,105.3,1+,40.82621083,1,1.6,75.5,79,77.4,71.1,60.56,53.26,45.76,41.2,36.15,32.3,112,29,11.35,6.51
Healesville,OBP,a51287,871,c,OBPc,102,1+,,1,1.65,72.03,75,73.35,66.24,57.47,51.12,45.26,40.8,35.91,32.05,101,26,,
DPIPWE,OBP,,,c,OBPc,102,,,1,1.78,68.21,71,69.22,62.81,54.14,46.43,41.53,37.5,32.6,28.24,93,28,10.43,6.77
DPIPWE,OBP,,767,c,OBPc,99.85,1+,42.223335,1,1.8,74.83,78,76.2,68.54,59.58,53.6,47.18,42.3,38.93,34.45,,27,12.58,6.05
TMAG,OBP,b9195,,c,OBPc,110,1+,47.22727273,1,1.83,76.09,79,77.17,67.33,60.76,53.88,47.93,42.61,38.74,32.87,112,29,,
Healesville,OBP,a21494,660,c,OBPc,105,1+,42.16190476,1,1.85,76.46,78,76.15,68.73,60.69,52.71,48.2,42.69,37.64,32.9,110,29,,
Healesville,OBP,a90014,1170,c,OBPc,102,1+,42.60784314,1,1.87,69.88,74,72.13,65,57.5,50.64,45.88,39.93,35.72,31.21,102,29,,
DPIPWE,OBP,,,c,OBPc,100.5,,,1,1.87,72.55,76,74.13,65.81,57.97,50.26,47.39,42.92,38.85,30.11,,27,11.14,6.08
DPIPWE,OBP,,,c,OBPc,110,,,1,1.88,72.39,80,78.12,70.99,58.98,52.72,43.64,35.59,31.54,#VALUE!,110,30,11.56,7.22
Healesville,OBP,b11202,1485,c,OBPc,103,1+,38.72815534,1,1.92,79.22,83,81.08,73.92,62.33,54.09,46.59,40.44,36.49,29.53,113,30,11.13,6.59
Healesville,OBP,a90384,,c,OBPc,102,1+,42.30392157,1,1.92,74.33,79,77.08,69.52,61.25,54.98,46.5,41.64,37.58,33.32,108,29,10.71,6.39
TMAG,OBP,b9187,617,c,OBPc,112,1+,46.15178571,1,2.03,75.77,80,77.97,69.05,61.42,54.52,47.59,41.97,39.37,33.4,115,28.5,,
DPIPWE,OBP,,628,c,OBPc,105,1+,42.99047619,1,2.03,75.01,79,76.97,69.15,61.21,54.3,46.83,41.36,38.31,31.58,99,28,10.23,6.45
DPIPWE,OBP,A80072,920,c,OBPc,104,1+,43.31730769,1,2.14,76.18,79,76.86,68.72,62.28,53.98,49.14,42.82,39,34.93,,27,,
Healesville,OBP,b11199,1482,c,OBPc,112,1+,44.66964286,1,2.22,77.97,80,77.78,71.92,63.68,56.5,49.08,41.29,37.83,33.95,106,28,,6.37
DPIPWE,OBP,,1137,c,OBPc,104,1+,39.44230769,1,2.31,78.87,81,78.69,75.98,64.99,57,49.95,46.42,42.58,39.41,,31,,
Healesville,OBP,b11181,1474,c,OBPc,107,1+,43.75700935,1,2.37,75.99,78,75.63,69.4,60.78,53.28,47.41,41.72,37.44,32.47,104,28,,
DPIPWE,OBP,13658,267,c,OBPc,102,1+,43,1,2.65,65.88,71,68.35,61.99,53.52,46.26,40.66,33.93,30.34,25.42,,27,11.11,5.94
DPIPWE,OBP,,,c,OBPc,102,,,1,2.92,76.71,81,78.08,72.42,64.18,57.92,51.75,47.435,43.12,38.29,114,30,,
SAMUS,OBP,b22920,,w,OBPw,109.5,1+,42.88584475,1,-1.23,70.28,71.77,73,63.53,54.65,46.84,40.48,35.18,30.28,25.9,110,26,10.37,7.07
SAMUS,OBP,b6766,,w,OBPw,104,1+,39.71153846,1,-1.08,66.61,68.92,70,62.18,53.15,46.75,38.92,31.96,28.65,70,104,29,9.94,6.54
SAMUS,OBP,b56349,,w,OBPw,110.5,1+,45.90045249,1,-0.98,69.41,72.02,73,62.47,55.81,48.76,42.04,37.2,32.49,25.94,107,27,11.41,6.44
AMNH,OBP,amnh623503,,w,OBPw,101.89,1+,40.44557857,1,-0.86,69.77,71.14,72,64.26,55.64,47.41,41.91,37.61,32.85,30.11,92,26,10.53,7.16
SAMUS,OBP,b6939,,w,OBPw,101,1+,41.48514851,1,-0.58,61.3,63.42,64,57.2,49.64,38.34,33.86,30.59,#VALUE!,#VALUE!,96,25,10.41,7.01
DPIPWE,OBP,,1346,w,OBPw,103.52,1+,43.25734158,1,0,74.68,76,76,68.14,58.94,51.76,45.41,39.98,35.97,33.02,,26,,
SAMUS,OBP,b22919,,w,OBPw,105,1+,41.38095238,1,0.29,69.35,71,70.71,63.81,55.64,48.52,41.95,36.59,31.23,28.95,102,25,10.43,7.03
TMAG,OBP,b9190,,w,OBPw,116,1+,45.97413793,1,0.46,78.04,82,81.54,73.92,63.56,55.5,48.27,42.62,39.33,34.64,118,33,,
AM,OBP,o6139,,w,OBPw,106,1+,42.70754717,1,0.5,69.11,71,70.5,64.22,53.2,45.41,38.84,35.01,30.94,27.12,102,27,9.43,6.51
VICMUS,OBP,b20413,,w,OBPw,107,1+,46.71028037,1,0.57,70.22,74,73.43,67.27,57.51,49.46,44.04,37.85,33.94,29.54,,26,11.26,6.84
Healsville,OBP,b30075,,w,OBPw,111,1+,43.59459459,1,0.62,76.18,80,79.38,71.82,61.92,53.45,48.67,43.18,38.7,#VALUE!,114,30,10.84,7.64
SAMUS,OBP,b36793,,w,OBPw,100,1+,,1,0.72,68.1,69,68.28,60.28,51.6,44.82,38.03,34.62,30.61,27.46,93.95,30,,
VICMUS,OBP,r14068,,w,OBPw,112.46,1+,41.92601814,1,0.72,72.61,74,73.28,64.75,55.26,47.49,41.13,36.97,32.53,27.52,112,27,10.54,6.72
SAMUS,OBP,b11067,,w,OBPw,108,1+,46.90740741,1,0.76,71.22,74,73.24,66.2,56.69,50.01,44.97,38.98,36.72,31.88,110,28.5,10.48,6.97
AMNH,OBP,amnh623494,,w,OBPw,101.3,1+,41.29318855,1,0.78,70.97,74,73.22,65.61,58.11,51.2,44.66,41.85,38.5,34.09,105,27,10.43,6.61
SAMUS,OBP,b22922,,w,OBPw,106,1+,40.94339623,1,0.82,70.03,72,71.18,64.5,56.59,48.33,41.51,36.64,32.55,28.24,105,27,10.58,7.02
SAMUS,OBP,b22923,,w,OBPw,105,1+,43.1047619,1,0.85,73.29,76,75.15,67.53,58.65,50.96,43.85,39.69,35.74,31.57,99,26,10.07,7.17
Harvard,OBP,mcz71488,,w,OBPw,105.38,1+,41.92446385,1,0.88,68.69,72,71.12,62.79,54.12,45.84,39.77,35.12,31.73,27.5,102,29,10.52,6.78
TMAG,OBP,b9185,,w,OBPw,109,1+,46.77981651,1,0.92,75.85,78,77.08,68.54,61.03,52.23,46.31,39.46,35.11,32.19,112,29,,
SAMUS,OBP,b11068,,w,OBPw,106,1+,43.00943396,1,0.92,70.52,72,71.08,62.95,56.705,50.46,41.68,36.97,32.71,28.7,,29,10.5,6.82
Harvard,OBP,mcz11944,,w,OBPw,104.4,1+,40.93869732,1,0.98,68.43,71,70.02,64.88,57.02,48,42.14,33.59,30.85,28.85,102,26,10.34,6.65
AMNH,OBP,amnh623504,,w,OBPw,104,1+,44.28846154,1,0.98,70.77,72,71.02,62.87,53.69,45.72,39.63,34.52,30.83,27.92,101,25,10.68,6.72
SAMUS,OBP,b23592,,w,OBPw,105,1+,39.88571429,1,1,69.98,72,71,63.74,55.85,48.75,42.25,37.45,31.45,27.99,109,29,12.68,6.75
VICMUS,OBP,r8773,,w,OBPw,109,1+,46.22018349,1,1.05,67.84,70,68.95,60.72,50.9,43.58,39.06,32.85,29.18,25.81,92,23,10.66,7.22
Harvard,OBP,mcz148993,,w,OBPw,106.6,1+,39.2120075,1,1.06,70.17,74,72.94,63.23,54.8,47.4,40.79,36.04,33.14,30.64,87,25,,
SAMUS,OBP,b2387,,w,OBPw,103,1+,41.67961165,1,1.13,66.72,70,68.87,62.08,54.08,47.45,42.12,36.72,32.75,28.83,100,26,10.19,6.83
VICMUS,OBP,b17335,,w,OBPw,111,1+,45.46846847,1,1.13,69.98,71.5,70.37,60.89,53.38,45.87,38.92,34.42,30.73,26.56,106,26,10.33,6.74
AM,OBP,o37043,,w,OBPw,105,1+,42.01904762,1,1.14,69.72,72,70.86,64.79,54.05,47.04,40.22,35.89,31.03,25.35,102,28,11.09,6.75
SAMUS,OBP,b22918,,w,OBPw,104,1+,40.94230769,1,1.17,65.52,68,66.83,58.42,49.99,42.47,37,33.2,28.45,24.36,98,25,10.38,6.66
VICMUS,OBP,b20414,,w,OBPw,113,1+,46.98230088,1,1.19,70.3,71,69.81,61.48,53.81,45.39,40.44,34.92,31.83,28.83,110,30,10.64,6.57
AMNH,OBP,amnh623497,,w,OBPw,104.17,1+,41.14428338,1,1.26,67.92,70,68.74,59.46,50.16,42.78,37.6,33.48,28.93,25.96,94,25,10.16,6.57
TMAG,OBP,b9174,,w,OBPw,112,1+,44.73214286,1,1.28,77.7,80,78.72,69.64,60.68,53.6,47.1,42.8,38.53,35.4,102,29,,
Harvard,OBP,mcz330634,,w,OBPw,105.1,1+,42.04567079,1,1.28,69.4,72,70.72,63.51,57.16,49.58,45.46,41.04,36.8,30.21,106,27,10.16,6.69
SAMUS,OBP,b57225,,w,OBPw,104,1+,41.97115385,1,1.29,69.88,72,70.71,62.42,49.34,46.23,42.45,39.06,35.13,30.72,113,26,11.8,7.16
AMNH,OBP,amnh623496,,w,OBPw,105.33,1+,41.8209437,1,1.29,68.89,72,70.71,62.33,52.65,45.93,39.99,35.81,32.7,29.36,108,27,10.15,6.7
VICMUS,OBP,b1451,,w,OBPw,111,1+,45.07207207,1,1.36,67.91,71,69.64,61.35,54,47.85,41.07,36.31,31.21,#VALUE!,118,27,,6.78
TMAG,OBP,b9188,,w,OBPw,111,1+,46.00900901,1,1.38,77.18,79.5,78.12,72.8,63.25,55.62,40.38,45.37,40.74,37.28,101,30,,
TMAG,OBP,b9196,,w,OBPw,113,1+,45.7699115,1,1.5,75.72,79,77.5,69.96,61.79,53.87,47.62,41.76,37.07,33.06,112,29,,
AMNH,OBP,amnh623500,,w,OBPw,107.17,1+,42.25062984,1,1.54,71.76,75,73.46,66.98,57.76,50.91,44.62,39.8,35.76,31.6,104,30,9.99,6.58
AMNH,OBP,amnh623495,,w,OBPw,103.31,1+,40.94472946,1,1.59,68.42,70,68.41,60.44,51.37,44.96,39.84,33.88,32.94,29.18,103,24,10.43,7.01
SAMUS,OBP,b23862,,w,OBPw,109,1+,42.33027523,1,1.61,69.47,72,70.39,63.25,53.08,46.19,40.24,35.78,31.74,26.76,109,26,10.85,7.2
Harvard,OBP,mcz74287,,w,OBPw,103.6,1+,42.87644788,1,1.71,68.6,71,69.29,61.11,52.4,44.76,40.32,35.92,31.7,26.6,92,28,10.24,7.12
SAMUS,OBP,b3025,,w,OBPw,108,1+,41.67592593,1,1.86,66.3,69,67.14,60.2,51.36,45.85,38.81,35.19,27.78,#VALUE!,110,20.5,10.3,6.8
AM,OBP,o35544,,w,OBPw,107,1+,43.00934579,1,1.92,71.88,74,72.08,65.04,56.54,47.97,41.77,36.82,30.45,28.86,108,29,10.83,6.44
TMAG,OBP,b7984,,w,OBPw,112,1+,45.19642857,1,1.93,74.63,78,76.07,69.46,59.98,51.33,43.98,39.59,34.21,#VALUE!,117,29,,
SAMUS,OBP,b19517,,w,OBPw,104,1+,43.79807692,1,2.04,63.13,68,65.96,57.28,46.7,41.5,37.51,32.3,27.73,24.95,100,24,10.26,6.61
AMNH,OBP,amnh623502,,w,OBPw,103.1,1+,42.70611057,1,2.55,70.81,74,71.45,62.93,55.09,47.43,41.46,36.47,33.1,31.04,,27,9.88,6.39
SAMUS,OBP,b47331,,w,OBPw,108,1+,38.39814815,1,2.59,72,74,71.41,64.61,54.74,47.2,40.39,35.57,30.45,26.41,103,27,11.47,7.08
SAMUS,OBP,b8754,,w,OBPw,105,1+,41.5047619,1,2.75,69.63,72,69.25,63.49,55.63,47.16,42.73,36.77,32.82,28.09,104,25.5,10.96,7.04
Healsville,OBP,b10751,,w,OBPw,103,1+,40.38834951,1,3.16,77.87,80,76.84,68.53,60.9,53.83,47.91,42.29,36.58,32.42,,30,11.54,7.37
SAMUS,OBP,b30513,,w,OBPw,111,1+,47.40540541,1,3.3,74.94,78,74.7,69.4,59.17,50.46,45.92,41.28,36.7,32.33,111,27,11.67,7.5
AM,RP,o16318,,w,RPw,104,1+,43.04807692,1,-1.39,69.35,69.61,71,62.51,54.33,46.88,40.69,34.83,30.52,26.87,110,25,,
SAMUS,RP,b27692,,w,RPw,105,1+,41.03809524,1,-0.68,69.57,76.32,77,69.33,60.11,51.21,44.64,39.8,35.92,32.03,,24,,
SAMUS,RP,b18108,,w,RPw,109,1+,43.11926606,1,-0.41,73.03,73.59,74,68.09,56.85,49.76,43.62,39.1,33.97,30.26,105,29,,
AM,RP,o33636,,w,RPw,106,1+,44.29245283,1,0,67.93,71,71,62.86,51.03,43.14,37.14,32.65,27.65,24.45,102,24,,
AM,RP,o33610,,w,RPw,111,1+,42.32432432,1,0,71.7,74,74,66,56.53,48.09,42.06,35.2,30.1,25.59,,,,
AM,RP,o33601,,w,RPw,107,1+,41.74766355,1,0.51,69.21,71,70.49,62.45,54.41,46.69,41.46,36.45,30.76,26.72,,27,,
SAMUS,RP,b8772,,w,RPw,106,1+,43.37735849,1,0.56,66.28,69,68.44,61.38,52.18,44.56,38.68,33.69,29.61,24.04,101,26,,
SAMUS,RP,1870,,w,RPw,107,1+,40.22429907,1,0.59,70.01,72,71.41,62.99,54.3,45.61,38.7,33.6,29.15,25.67,,27,,
AM,RP,o26313,,w,RPw,119,1+,43.35294118,1,0.67,72.41,75,74.33,65.2,55.95,48.5,42.53,38.73,31.39,26.42,112,33,,
SAMUS,RP,b4244,,w,RPw,108,1+,41.23148148,1,0.67,68.97,73,72.33,64.15,55.34,46.78,41.36,35.87,31.85,26.87,104,24,,
SAMUS,RP,b1869,,w,RPw,109,1+,43.55963303,1,0.68,70.86,73,72.32,65.4,57.1,49.43,42.83,37.72,33.51,28.44,106,27,,
SAMUS,RP,b8771,,w,RPw,109,1+,43.14678899,1,0.7,70.09,73,72.3,65.17,55.91,47.47,40.94,35.46,31.18,27.2,102,27,,
AM,RP,o16317,,w,RPw,103,1+,41.26213592,1,0.79,68.27,69,68.21,61.9,53.16,46.27,40.82,35.95,29.85,25.99,102,26,,
SAMUS,RP,b57223,,w,RPw,108,1+,40.84259259,1,0.82,73.42,74,73.18,64.68,55.63,48.09,41.56,36.98,32.49,28.77,104,29,,
SAMUS,RP,b30474,,w,RPw,109.72,1+,42.60845789,1,0.86,74.55,77,76.14,65.52,56.01,48.4,43.09,38.83,34.15,30.34,105,25,,
SAMUS,RP,b4256,,w,RPw,108,1+,41.5,1,0.89,69.13,71,70.11,63.27,54.87,46.01,39.61,35.95,32.13,27.55,101,26,,
SAMUS,RP,b30475,,w,RPw,109,1+,42.24770642,1,1.02,74.65,77,75.98,68.05,58.97,50.94,44.31,39.14,34.02,29.79,106,29,,
SAMUS,RP,b47334,,w,RPw,108,1+,44.06481481,1,1.03,71.35,74,72.97,65.26,54.85,46.67,41.11,37.27,32.49,28.22,102,25,,
SAMUS,RP,b8770,,w,RPw,108,1+,41.22222222,1,1.07,70.34,72,70.93,63.75,55.49,47.42,41.07,35.63,32.67,27.97,,29,,
SAMUS,RP,b22916,,w,RPw,110,1+,43.35454545,1,1.16,71.65,74,72.84,64.96,55.27,47.64,41.15,35.89,32.16,28.2,,30,,
AM,RP,o3906,,w,RPw,108,1+,41.47222222,1,1.19,68.44,71,69.81,61.81,52.71,45.46,39.2,34.9,29.73,24.57,109,26,,
SAMUS,RP,b5285,,w,RPw,103,1+,38.05825243,1,1.23,66.06,69,67.77,60.93,53.07,45.87,39.04,35.19,30.41,27.48,,25,,
AM,RP,o26625,,w,RPw,113,1+,43.62831858,1,1.3,71.11,74,72.7,65.15,55.27,46.91,40.68,34.27,28.49,23.15,104,29,,
AM,RP,o26626,,w,RPw,112,1+,41.27678571,1,1.31,69.18,72,70.69,62.91,54.41,45.6,39.84,34.36,29.1,24.42,113,30,,
SAMUS,RP,b22917,,w,RPw,112.38,1+,45.46182595,1,1.45,75,78,76.55,67.24,57.87,49.56,43.18,38.92,34.25,30.53,,24,,
SAMUS,RP,b27366,,w,RPw,104,1+,40.82692308,1,1.54,70.76,73,71.46,65.15,56.32,48.44,42.36,38.13,35.7,31.6,103,25,,
AM,RP,o33609,,w,RPw,107.42,1+,42.31986595,1,1.66,67.58,70,68.34,61.17,52.55,44.44,38.79,33.39,28.76,24.27,97,35,,
AM,RP,o33600,,w,RPw,109,1+,43.24770642,1,1.82,68.63,71,69.18,60.26,51.4,42.2,36.55,31.11,27.67,24.4,102,28,,
SAMUS,RP,b3002,,w,RPw,107,1+,43.03738318,1,1.87,70.14,72,70.13,62.34,53.12,45.33,40.07,35.14,30.8,26.13,95,25,,
SAMUS,RP,b5284,,w,RPw,109,1+,42.01834862,1,2.19,70.56,74,71.81,65.07,55.79,47.63,41.78,37.21,33.08,27.73,103,23.5,,
SAMUS,RP,b8769,,w,RPw,109,1+,40.36697248,1,2.23,71.65,74,71.77,64.76,55.42,48.77,41.45,37.34,32.81,27.03,112,28,,
SAMUS,SCP,b30343,,w,SCPw,104,1+,42.89423077,1,-0.78,71,69.41,70.19,61.32,53.31,45.68,40.1,35.86,31.08,#VALUE!,104,24,9.52,6.77
SAMUS,SCP,b60272,,w,SCPw,106.21,1+,45.01459373,1,-0.55,68.58,70.45,71,61.68,55.5,47.12,41.48,34.27,31.2,26.71,,24,9.03,7.04
AM,SCP,o28415,,w,SCPw,107,1+,40.42056075,1,0,84.07,86,86,78.5,69.5,62.15,55.17,49.96,45.46,41.07,102,25,9.9,7.26
SAMUS,SCP,b58754,,w,SCPw,102,1+,44.41176471,1,0,70.4,74,74,64.1,55.69,49.31,43.81,38.23,32.09,28.84,89,26.5,9.39,7.42
SAMUS,SCP,b14850,,w,SCPw,103,1+,37.2815534,1,0.54,73.1,75,74.46,67.44,58.48,51.62,45.24,40.33,36.25,31.1,94,27,9.56,7.15
SAMUS,SCP,b30341,,w,SCPw,106,1+,41.66981132,1,0.57,69.84,73,72.43,65.98,57.66,50.6,45.2,40.3,35.1,30.43,95,24,9,7.34
SAMUS,SCP,b6982,,w,SCPw,106,1+,43,1,0.62,68.89,71,70.38,63.1,54.75,47.15,41.91,36.23,32.08,27.71,,24,10.22,7.38
SAMUS,SCP,b22973,,w,SCPw,109,1+,43.40366972,1,0.68,70.37,71,70.32,63.67,53.5,44.85,38.38,32.48,28.31,23.23,98,22,,7.7
SAMUS,SCP,b12415,,w,SCPw,102,1+,46.64705882,1,0.72,70.54,72,71.28,63.69,54.94,47.37,40.8,37.2,29.2,27.7,,24,8.62,8
AM,SCP,o37581,,w,SCPw,125,1+,47.552,1,0.9,84.06,86,85.1,74.03,62.82,52.79,46.31,39.16,34.51,27.95,102,27,9.68,7.59
SAMUS,SCP,b12414,,w,SCPw,102,1+,41.19607843,1,0.94,73.93,75,74.06,66.53,57.48,49.63,44.56,39.05,34.87,30.62,91,24,9.33,7.18
VICMUS,SCP,b1460,,w,SCPw,113,1+,43,1,0.97,73.36,75,74.03,66.82,58.56,50.71,44.53,38.61,34.42,30.69,98,26,,
AM,SCP,o26590,,w,SCPw,115,1+,43.91304348,1,1.01,70.56,72,70.99,63.26,51.34,43.17,38.75,32.36,27.53,#VALUE!,108,28,,7.23
VICMUS,SCP,r13398,,w,SCPw,107,1+,42.38317757,1,1.03,72.01,74,72.97,64.67,55.81,48.3,43.75,38.47,34.21,29.12,95,26,,
SAMUS,SCP,b14851,,w,SCPw,105,1+,42.41904762,1,1.04,69.58,71,69.96,63.03,53.42,45.87,40.29,36.4,31.23,28.32,85,23,9.98,7.18
SAMUS,SCP,b30922,,w,SCPw,109,1+,42.98165138,1,1.13,73.16,77,75.87,65.52,57.41,50.99,44.92,38.48,33.84,28.17,105,26,9.76,7.26
AM,SCP,o22761,,w,SCPw,112,1+,42.375,1,1.18,68.34,73,71.82,63.81,54.26,47.11,42,35.95,30.2,26.06,102,25,9.96,7.58
SAMUS,SCP,b28518,,w,SCPw,104,1+,41.52884615,1,1.21,65.85,68,66.79,58.83,50.94,43.65,38.82,34.09,30.07,25.18,88,26,8.95,6.83
SAMUS,SCP,b27063,,w,SCPw,111,1+,42.25225225,1,1.31,69.45,72,70.69,64.01,55.12,46.81,40.79,34.27,30.04,25.29,94,27,8.69,7.26
SAMUS,SCP,b60273,,w,SCPw,104,1+,38.94230769,1,1.32,72.68,75,73.68,64.7,56.04,48.99,42.14,38.08,33.02,27.39,99,29,9.4,6.94
Harvard,SCP,mcz142239,,w,SCPw,109.06,1+,45.99303136,1,1.57,73.41,76,74.43,65.21,43.01,49.76,44.24,39.32,33.59,29.35,91,26,,
SAMUS,SCP,b22896,,w,SCPw,111,1+,45.72072072,1,1.78,72.75,76,74.22,66.9,58.785,50.67,43.92,37.31,32.32,28.51,96,25,8.33,6.9
SAMUS,SCP,b30342,,w,SCPw,106,1+,41.88679245,1,1.99,73.37,75,73.01,65.32,56.65,50.58,44.7,39.51,35.6,30.47,107,27,9.9,7.24
VICMUS,SCP,b1539,,w,SCPw,112,1+,45.94642857,1,2.08,72.08,74,71.92,65.96,56.85,49.53,44.76,37.8,33.48,28.78,91,24,,
AM,SCP,o35545,,w,SCPw,117.43,1+,46.81086605,1,4.41,83.07,86,81.59,74.83,65.1,56.23,50.27,44.37,38.86,33.32,108,28,10.11,7.18
AM,TP,o23523,,w,TPw,106,1+,42.03773585,1,-0.83,70.7,71.17,72,62.05,52.55,42.89,37.94,32.11,26.51,23.2,102,26,9.46,6.81
AM,TP,o33450,,w,TPw,108,1+,45.41666667,1,0,69.01,74,74,63.85,53.92,46.31,41.3,36.03,30.72,26.11,107,26,11.49,6.72
