id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN07-091,2007,Male,J,18,0,0,0,-1.25005248636354,CN06-092
CN07-093,2007,Male,J,29,1,0,2,-0.190226204273843,CN07-007
CN07-093,2008,Male,A,44,1,2,4,1.2549914531212,CN07-007
CN07-093,2009,Male,A,49,0,3,3,1.73673067225289,CN07-007
CN07-094,2007,Female,J,17,0,0,0,-1.34640033018988,CN07-007
CN07-095,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-089
CN07-096,2007,Male,J,38,1,0,2,0.676904390163184,CN06-110
CN07-096,2008,Male,A,47,1,3,5,1.54403498460021,CN06-110
CN07-096,2009,Male,A,56,1,8,10,2.41116557903724,CN06-110
CN07-096,2010,Male,A,62,0,0,0,2.98925264199526,CN06-110
CN07-097,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-025
CN07-098,2007,Male,J,17,0,0,0,-1.34640033018988,CN07-007
CN07-099,2007,Male,J,22,0,0,0,-0.864661111058199,CN06-136
CN07-100,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-007
CN07-101,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-154
CN07-102,2007,Female,J,24,1,0,2,-0.671965423405526,CN06-154
CN07-102,2008,Female,A,34,0,0,0,0.291513014857839,CN06-154
CN07-103,2007,Male,J,16,0,0,0,-1.44274817401622,CN06-154
CN07-105,2007,Male,J,29,0,0,0,-0.190226204273843,NA
CN07-106,2007,Male,J,18,0,0,0,-1.25005248636354,CN06-116
CN07-107,2007,Male,J,27,0,0,0,-0.382921891926516,CN07-046
CN07-108,2007,Female,J,17,1,0,2,-1.34640033018988,CN06-116
CN07-108,2008,Female,A,31,0,3,3,0.00246948337882945,CN06-116
CN07-109,2007,Female,J,21,0,0,0,-0.961008954884535,CN06-119
CN07-110,2007,Female,A,44,0,3,3,1.2549914531212,CN06-025
CN07-112,2007,Male,J,26,0,0,0,-0.479269735752853,CN07-026
CN07-113,2007,Female,J,31,1,0,2,0.00246948337882945,CN06-147
CN07-113,2008,Female,A,41,1,1,3,0.965947921642194,CN06-147
CN07-113,2009,Female,A,43,1,4,6,1.15864360929487,CN06-147
CN07-113,2010,Female,A,47,0,1,1,1.54403498460021,CN06-147
CN07-114,2007,Female,J,27,1,0,2,-0.382921891926516,CN06-147
CN07-114,2008,Female,A,40,1,2,4,0.869600077815857,CN06-147
CN07-114,2009,Female,A,51,1,3,5,1.92942635990556,CN06-147
