id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN09-039,2009,Female,J,27,1,0,2,-0.382921891926516,CN08-036
CN09-039,2010,Female,A,39,0,1,1,0.773252233989521,CN08-036
CN09-040,2009,Female,J,27,0,0,0,-0.382921891926516,CN09-041
CN09-041,2009,Female,A,48,0,5,5,1.64038282842655,NA
CN09-042,2009,Male,J,19,0,0,0,-1.15370464253721,CN08-073
CN09-043,2009,Male,J,28,0,0,0,-0.28657404810018,CN08-077
CN09-044,2009,Female,J,15,0,0,0,-1.53909601784255,CN08-073
CN09-045,2009,Male,J,26,1,0,2,-0.479269735752853,CN08-071
CN09-045,2010,Male,A,36,0,1,1,0.484208702510512,CN08-071
CN09-046,2009,Male,J,26,0,0,0,-0.479269735752853,CN08-005
CN09-047,2009,Female,J,26,0,0,0,-0.479269735752853,CN08-053
CN09-048,2009,Male,J,26,0,0,0,-0.479269735752853,CN07-113
CN09-050,2009,Female,J,30,0,0,0,-0.093878360447507,NA
CN09-051,2009,Female,J,20,0,0,0,-1.05735679871087,CN08-053
CN09-052,2009,Female,J,23,1,0,2,-0.768313267231862,CN08-089
CN09-052,2010,Female,A,34,0,3,3,0.291513014857839,CN08-089
CN09-053,2009,Male,A,41,0,2,2,0.965947921642194,NA
CN09-054,2009,Female,J,13,0,0,0,-1.73179170549523,CN08-093
CN09-055,2009,Male,J,16,0,0,0,-1.44274817401622,CN08-093
CN09-056,2009,Male,J,22,0,0,0,-0.864661111058199,CN07-036
CN09-058,2009,Male,J,26,0,0,0,-0.479269735752853,CN09-008
CN09-059,2009,Female,J,23,1,0,2,-0.768313267231862,CN07-036
CN09-059,2010,Female,A,39,0,3,3,0.773252233989521,CN07-036
CN09-060,2009,Female,J,20,0,0,0,-1.05735679871087,CN07-036
CN09-061,2009,Male,J,15,1,0,2,-1.53909601784255,CN08-064
CN09-061,2010,Male,A,33,0,1,1,0.195165171031502,CN08-064
CN09-062,2009,Male,J,21,1,0,2,-0.961008954884535,CN09-008
CN09-062,2010,Male,A,41,0,1,1,0.965947921642194,CN09-008
CN09-063,2009,Female,J,26,0,0,0,-0.479269735752853,CN08-112
CN09-064,2009,Female,J,28,1,0,2,-0.28657404810018,CN08-112
CN09-064,2010,Female,A,54,0,5,5,2.21846989138457,CN08-112
CN09-065,2009,Male,J,14,0,0,0,-1.63544386166889,CN07-125
CN09-066,2009,Female,J,13,0,0,0,-1.73179170549523,CN07-125
CN09-067,2009,Female,J,13,0,0,0,-1.73179170549523,CN07-125
CN09-068,2009,Female,J,23,1,0,2,-0.768313267231862,CN07-113
CN09-068,2010,Female,A,37,0,0,0,0.580556546336848,CN07-113
CN09-069,2009,Male,J,11,0,0,0,-1.9244873931479,CN08-077
CN09-070,2009,Male,J,28,0,0,0,-0.28657404810018,CN08-101
CN09-071,2009,Female,J,26,1,0,2,-0.479269735752853,CN08-101
CN09-071,2010,Female,A,42,0,1,1,1.06229576546853,CN08-101
CN09-072,2009,Male,J,30,0,0,0,-0.093878360447507,CN08-036
CN09-073,2009,Female,J,27,1,0,2,-0.382921891926516,CN08-036
CN09-073,2010,Female,A,45,0,2,2,1.35133929694754,CN08-036
CN09-074,2009,Female,J,28,0,0,0,-0.28657404810018,CN08-036
CN09-075,2009,Female,J,23,1,0,2,-0.768313267231862,CN08-113
CN09-075,2010,Female,A,32,0,5,5,0.0988173272051659,CN08-113
CN09-076,2009,Female,J,23,0,0,0,-0.768313267231862,CN08-113
CN09-077,2009,Female,J,21,0,0,0,-0.961008954884535,CN08-113
CN09-078,2009,Female,J,23,1,0,2,-0.768313267231862,CN08-053
CN09-078,2010,Female,A,44,0,2,2,1.2549914531212,CN08-053
CN09-079,2009,Male,J,29,0,0,0,-0.190226204273843,CN07-114
CN09-080,2009,Male,A,46,1,1,3,1.44768714077388,NA
CN09-080,2010,Male,A,51,0,2,2,1.92942635990556,NA
CN09-081,2009,Female,J,30,0,0,0,-0.093878360447507,CN09-041
CN09-082,2009,Female,J,30,0,0,0,-0.093878360447507,CN09-001
CN09-083,2009,Male,J,28,1,0,2,-0.28657404810018,CN08-073
CN09-083,2010,Male,A,40,0,3,3,0.869600077815857,CN08-073
CN09-084,2009,Female,J,27,1,0,2,-0.382921891926516,NA
CN09-084,2010,Female,A,49,0,2,2,1.73673067225289,NA
CN09-085,2009,Male,A,49,0,0,0,1.73673067225289,NA
CN09-086,2009,Female,J,28,1,0,2,-0.28657404810018,NA
CN09-086,2010,Female,A,35,0,0,0,0.387860858684175,NA
CN09-087,2009,Female,J,21,0,0,0,-0.961008954884535,CN08-005
CN09-088,2009,Male,J,24,0,0,0,-0.671965423405526,CN08-005
CN09-089,2009,Female,J,37,0,0,0,0.580556546336848,CN08-005
CN09-090,2009,Male,J,24,1,0,2,-0.671965423405526,CN08-071
CN09-090,2010,Male,A,48,0,3,3,1.64038282842655,CN08-071
CN09-091,2009,Female,J,20,0,0,0,-1.05735679871087,CN08-071
CN09-092,2009,Male,J,23,1,0,2,-0.768313267231862,CN08-071
CN09-092,2010,Male,A,42,0,0,0,1.06229576546853,CN08-071
CN09-093,2009,Female,A,41,0,1,1,0.965947921642194,NA
CN09-094,2009,Male,J,34,0,0,0,0.291513014857839,NA
CN09-095,2009,Female,J,28,0,0,0,-0.28657404810018,NA
CN09-096,2009,Male,J,25,0,0,0,-0.575617579579189,CN09-001
CN09-097,2009,Female,J,29,1,0,2,-0.190226204273843,CN08-071
CN09-097,2010,Female,A,36,0,0,0,0.484208702510512,CN08-071
CN09-098,2009,Female,J,23,1,0,2,-0.768313267231862,CN09-001
CN09-098,2010,Female,A,33,0,1,1,0.195165171031502,CN09-001
CN09-099,2009,Female,J,18,0,0,0,-1.25005248636354,CN08-073
CN09-100,2009,Female,J,25,0,0,0,-0.575617579579189,CN08-089
CN09-101,2009,Female,J,15,1,0,2,-1.53909601784255,CN09-102
CN09-101,2010,Female,A,43,1,0,2,1.15864360929487,CN09-102
CN09-102,2009,Female,J,34,0,2,2,0.291513014857839,NA
CN09-103,2009,Male,J,32,0,0,0,0.0988173272051659,NA
CN09-105,2009,Male,J,21,0,0,0,-0.961008954884535,CN08-089
CN09-106,2009,Female,J,21,1,0,2,-0.961008954884535,CN08-089
CN09-106,2010,Female,A,37,0,3,3,0.580556546336848,CN08-089
CN09-107,2009,Female,J,24,1,0,2,-0.671965423405526,CN08-053
CN09-107,2010,Female,A,40,0,1,1,0.869600077815857,CN08-053
CN09-108,2009,Female,J,23,0,0,0,-0.768313267231862,CN08-093
CN09-109,2009,Male,J,18,0,0,0,-1.25005248636354,CN07-125
CN09-110,2009,Female,J,32,0,0,0,0.0988173272051659,CN07-113
CN09-112,2009,Female,J,18,1,0,2,-1.25005248636354,CN09-008
CN09-112,2010,Female,A,46,0,2,2,1.44768714077388,CN09-008
CN09-114,2009,Male,J,26,0,0,0,-0.479269735752853,CN07-036
CN09-115,2009,Male,J,24,0,0,0,-0.671965423405526,CN07-036
CN09-116,2009,Female,J,26,1,0,2,-0.479269735752853,CN09-008
CN09-116,2010,Female,A,41,0,1,1,0.965947921642194,CN09-008
CN09-117,2009,Female,J,26,1,0,2,-0.479269735752853,CN09-008
CN09-117,2010,Female,A,37,0,2,2,0.580556546336848,CN09-008
CN09-118,2009,Female,J,24,1,0,2,-0.671965423405526,CN08-064
CN09-118,2010,Female,A,31,0,1,1,0.00246948337882945,CN08-064
CN09-119,2009,Female,J,25,0,0,0,-0.575617579579189,CN08-064
CN09-120,2009,Male,J,23,0,0,0,-0.768313267231862,CN07-036
CN09-122,2009,Male,J,26,0,0,0,-0.479269735752853,CN09-041
CN09-123,2009,Male,J,23,1,0,2,-0.768313267231862,CN09-014
CN09-123,2010,Male,A,37,0,0,0,0.580556546336848,CN09-014
CN09-124,2009,Female,J,28,0,0,0,-0.28657404810018,CN08-073
CN09-125,2009,Male,J,30,0,0,0,-0.093878360447507,CN08-076
CN09-126,2009,Male,J,25,0,0,0,-0.575617579579189,CN09-001
CN09-127,2009,Male,J,30,0,0,0,-0.093878360447507,NA
CN09-128,2009,Male,J,27,0,0,0,-0.382921891926516,CN08-005
CN09-129,2009,Female,J,24,1,0,2,-0.671965423405526,CN09-037
CN09-129,2010,Female,A,46,0,1,1,1.44768714077388,CN09-037
CN09-130,2009,Female,J,23,0,0,0,-0.768313267231862,CN07-114
CN09-131,2009,Male,J,23,1,0,2,-0.768313267231862,CN08-101
CN09-131,2010,Male,A,43,0,1,1,1.15864360929487,CN08-101
CN09-132,2009,Female,J,23,1,0,2,-0.768313267231862,CN08-077
CN09-132,2010,Female,A,44,0,2,2,1.2549914531212,CN08-077
CN09-133,2009,Male,J,18,0,0,0,-1.25005248636354,CN08-077
CN09-134,2009,Male,J,26,0,0,0,-0.479269735752853,CN08-076
CN09-135,2009,Male,J,31,1,0,2,0.00246948337882945,CN09-102
CN09-135,2010,Male,A,40,0,0,0,0.869600077815857,CN09-102
CN09-136,2009,Male,J,24,0,0,0,-0.671965423405526,CN08-112
CN09-137,2009,Female,J,22,1,0,2,-0.864661111058199,CN08-113
CN09-137,2010,Female,A,33,1,3,5,0.195165171031502,CN08-113
CN09-138,2009,Female,J,30,1,0,2,-0.093878360447507,CN08-093
CN09-138,2010,Female,A,36,0,4,4,0.484208702510512,CN08-093
CN09-139,2009,Female,J,22,0,0,0,-0.864661111058199,CN09-008
CN09-140,2009,Male,J,25,0,0,0,-0.575617579579189,CN09-008
CN09-141,2009,Male,J,22,1,0,2,-0.864661111058199,CN08-064
CN09-141,2010,Male,A,42,0,4,4,1.06229576546853,CN08-064
CN09-142,2009,Male,J,24,1,0,2,-0.671965423405526,CN08-112
CN09-142,2010,Male,A,47,0,2,2,1.54403498460021,CN08-112
CN10-001,2010,Male,A,50,0,0,0,1.83307851607922,NA
CN10-002,2010,Female,A,35,0,1,1,0.387860858684175,CN09-093
CN10-003,2010,Female,A,51,0,0,0,1.92942635990556,CN09-F11
CN10-004,2010,Female,A,40,1,1,3,0.869600077815857,CN08-073
CN10-005,2010,Female,A,42,0,0,0,1.06229576546853,CN07-114
CN10-007,2010,Male,A,49,0,2,2,1.73673067225289,NA
CN10-008,2010,Male,A,NA,1,1,3,NA,NA
CN10-009,2010,Female,A,41,0,1,1,0.965947921642194,NA
CN10-010,2010,Male,A,41,0,3,3,0.965947921642194,NA
CN10-012,2010,Male,A,41,0,2,2,0.965947921642194,CN08-053
CN10-013,2010,Female,J,17,0,0,0,-1.34640033018988,CN09-064
CN10-016,2010,Male,J,18,0,0,0,-1.25005248636354,CN09-064
CN10-017,2010,Female,A,34,0,5,5,0.291513014857839,CN08-053
CN10-018,2010,Female,A,34,0,0,0,0.291513014857839,CN09-003
CN10-020,2010,Female,A,41,0,1,1,0.965947921642194,CN08-064
CN10-021,2010,Female,A,31,0,1,1,0.00246948337882945,CN08-064
CN10-022,2010,Male,J,12,0,0,0,-1.82813954932156,CN09-106
CN10-023,2010,Male,A,45,0,6,6,1.35133929694754,NA
CN10-025,2010,Male,A,38,0,4,4,0.676904390163184,NA
CN10-026,2010,Female,A,44,0,1,1,1.2549914531212,NA
CN10-030,2010,Female,A,35,0,2,2,0.387860858684175,CN09-F11
CN10-031,2010,Male,A,50,0,1,1,1.83307851607922,CN09-041
CN10-032,2010,Female,J,12,0,0,0,-1.82813954932156,CN10-053
CN10-033,2010,Male,A,52,0,3,3,2.02577420373189,CN08-005
CN10-035,2010,Female,J,17,0,0,0,-1.34640033018988,CN09-106
CN10-037,2010,Female,J,13,0,0,0,-1.73179170549523,CN09-075
CN10-038,2010,Male,J,16,0,0,0,-1.44274817401622,CN09-075
CN10-039,2010,Male,A,47,0,2,2,1.54403498460021,NA
CN10-041,2010,Female,J,21,1,0,2,-0.961008954884535,CN09-073
CN10-042,2010,Female,J,26,0,0,0,-0.479269735752853,CN09-037
CN10-043,2010,Male,J,20,0,0,0,-1.05735679871087,CN09-129
CN10-044,2010,Male,J,19,0,0,0,-1.15370464253721,CN09-073
CN10-045,2010,Female,J,21,0,0,0,-0.961008954884535,CN09-137
CN10-046,2010,Male,J,18,1,0,2,-1.25005248636354,CN09-039
CN10-047,2010,Female,J,28,0,0,0,-0.28657404810018,CN10-030
CN10-048,2010,Male,J,28,0,0,0,-0.28657404810018,NA
CN10-051,2010,Female,J,18,0,0,0,-1.25005248636354,CN10-053
CN10-052,2010,Female,J,25,0,0,0,-0.575617579579189,CN10-009
CN10-053,2010,Female,A,40,0,2,2,0.869600077815857,CN08-071
CN10-054,2010,Male,J,29,1,0,2,-0.190226204273843,CN09-132
CN10-055,2010,Male,J,26,0,0,0,-0.479269735752853,CN09-071
CN10-056,2010,Female,J,27,0,0,0,-0.382921891926516,CN09-132
CN10-057,2010,Male,J,28,0,0,0,-0.28657404810018,CN10-004
CN10-058,2010,Female,J,19,0,0,0,-1.15370464253721,CN09-075
CN10-059,2010,Female,J,27,0,0,0,-0.382921891926516,CN07-114
CN10-060,2010,Female,J,27,0,0,0,-0.382921891926516,CN07-114
CN10-061,2010,Male,J,27,0,0,0,-0.382921891926516,CN08-093
CN10-062,2010,Male,J,25,0,0,0,-0.575617579579189,CN08-093
CN10-063,2010,Female,J,21,1,0,2,-0.961008954884535,CN09-075
CN10-064,2010,Female,J,21,0,0,0,-0.961008954884535,CN09-137
CN10-065,2010,Male,J,31,1,0,2,0.00246948337882945,CN09-137
CN10-066,2010,Male,J,22,0,0,0,-0.864661111058199,CN09-107
CN10-067,2010,Male,J,20,0,0,0,-1.05735679871087,CN10-021
CN10-068,2010,Female,J,27,1,0,2,-0.382921891926516,CN10-017
CN10-069,2010,Female,J,23,1,0,2,-0.768313267231862,CN09-052
CN10-070,2010,Male,J,30,0,0,0,-0.093878360447507,CN09-052
CN10-072,2010,Male,J,20,0,0,0,-1.05735679871087,CN09-106
CN10-073,2010,Male,J,19,0,0,0,-1.15370464253721,CN08-089
CN10-074,2010,Male,J,22,0,0,0,-0.864661111058199,CN10-017
CN10-075,2010,Male,J,27,1,0,2,-0.382921891926516,CN09-052
CN10-076,2010,Male,J,29,0,0,0,-0.190226204273843,CN08-089
CN10-077,2010,Female,J,23,0,0,0,-0.768313267231862,CN10-017
CN10-078,2010,Male,J,28,0,0,0,-0.28657404810018,CN10-017
CN10-079,2010,Male,J,21,0,0,0,-0.961008954884535,CN09-078
CN10-080,2010,Female,J,19,0,0,0,-1.15370464253721,CN09-078
CN10-081,2010,Male,J,21,0,0,0,-0.961008954884535,CN08-093
CN10-082,2010,Female,J,22,0,0,0,-0.864661111058199,CN09-116
CN10-083,2010,Female,J,24,0,0,0,-0.671965423405526,CN09-059
CN10-084,2010,Female,J,19,0,0,0,-1.15370464253721,CN09-059
CN10-085,2010,Female,J,29,0,0,0,-0.190226204273843,CN09-112
CN10-086,2010,Male,J,25,0,0,0,-0.575617579579189,CN09-118
CN10-087,2010,Female,J,22,0,0,0,-0.864661111058199,CN10-020
CN10-089,2010,Female,J,21,0,0,0,-0.961008954884535,CN09-117
CN10-090,2010,Male,J,18,0,0,0,-1.25005248636354,CN09-117
CN10-091,2010,Male,J,15,1,0,2,-1.53909601784255,CN09-064
CN10-092,2010,Male,J,31,0,0,0,0.00246948337882945,CN09-064
CN10-093,2010,Male,J,26,0,0,0,-0.479269735752853,CN07-113
CN10-094,2010,Male,J,19,0,0,0,-1.15370464253721,CN08-093
CN10-095,2010,Male,J,17,0,0,0,-1.34640033018988,CN09-138
CN10-097,2010,Female,J,15,1,0,2,-1.53909601784255,CN09-138
CN10-098,2010,Female,J,22,1,0,2,-0.864661111058199,CN09-138
CN10-100,2010,Male,A,NA,0,2,2,NA,NA
CN10-102,2010,Male,J,21,0,0,0,-0.961008954884535,CN09-075
