"","id","year","sex","age","mass","survival","reproduction","fitness","StMass","mother"
"266","CN13-114",2013,"Female","J",NA,1,0,2,NA,"CN12-044"
"267","CN13-114",2014,"Female","A",42,0,3,3,1.06229576546853,"CN12-044"
"268","CN13-115",2013,"Female","J",29,0,0,0,-0.190226204273843,"CN13-035"
"269","CN13-116",2013,"Female","J",22,1,0,2,-0.864661111058199,"CN12-032"
"270","CN13-116",2014,"Female","A",34,0,3,3,0.291513014857839,"CN12-032"
"271","CN13-117",2013,"Male","J",30,0,0,0,-0.093878360447507,"CN12-035"
"272","CN13-118",2013,"Female","J",25,1,0,2,-0.575617579579189,"CN12-019"
"273","CN13-118",2014,"Female","A",36,0,1,1,0.484208702510512,"CN12-019"
"274","CN13-119",2013,"Female","J",28,1,0,2,-0.28657404810018,"CN12-035"
"275","CN13-119",2014,"Female","A",43,0,5,5,1.15864360929487,"CN12-035"
"276","CN13-121",2013,"Male","J",29,0,0,0,-0.190226204273843,"CN12-029"
"277","CN14-002",2014,"Female","A",40,0,3,3,0.869600077815857,"CN13-040"
"278","CN14-004",2014,"Female","A",41,0,3,3,0.965947921642194,NA
"279","CN14-003",2014,"Female","A",42,1,2,4,1.06229576546853,NA
"280","CN14-009",2014,"Male","J",20,0,0,0,-1.05735679871087,"CN13-098"
"281","CN14-010",2014,"Male","J",22,0,0,0,-0.864661111058199,"CN13-098"
"282","CN14-011",2014,"Male","A",43,0,12,12,1.15864360929487,NA
"283","CN14-012",2014,"Male","J",28,0,0,0,-0.28657404810018,"CN13-115"
"284","CN14-013",2014,"Male","J",12,0,0,0,-1.82813954932156,"CN13-066"
"285","CN14-014",2014,"Male","J",12,0,0,0,-1.82813954932156,"CN13-066"
"286","CN14-015",2014,"Female","J",19,0,0,0,-1.15370464253721,"CN14-075"
"287","CN14-016",2014,"Male","J",22,0,0,0,-0.864661111058199,"CN13-118"
"288","CN14-019",2014,"Female","J",22,0,0,0,-0.864661111058199,"CN13-116"
"289","CN14-021",2014,"Female","A",44,1,1,3,1.2549914531212,NA
"290","CN14-023",2014,"Male","J",31,0,0,0,0.00246948337882945,"CN13-005"
"291","CN14-024",2014,"Female","J",23,1,0,2,-0.768313267231862,"CN12-045"
"292","CN14-025",2014,"Male","J",27,0,0,0,-0.382921891926516,"CN13-098"
"293","CN14-026",2014,"Male","J",29,0,0,0,-0.190226204273843,"CN13-048"
"294","CN14-027",2014,"Male","J",16,0,0,0,-1.44274817401622,"CN13-048"
"295","CN14-028",2014,"Female","A",40,1,2,4,0.869600077815857,"CN13-005"
"296","CN14-029",2014,"Male","A",43,0,0,0,1.15864360929487,NA
"297","CN14-030",2014,"Female","A",37,0,3,3,0.580556546336848,"CN13-022"
"298","CN14-031",2014,"Male","A",39,0,4,4,0.773252233989521,NA
"299","CN14-032",2014,"Female","J",23,1,0,2,-0.768313267231862,"CN13-020"
"300","CN14-033",2014,"Male","A",44,0,12,12,1.2549914531212,NA
"301","CN14-034",2014,"Male","J",30,1,0,2,-0.093878360447507,"CN13-002"
"302","CN14-035",2014,"Male","J",14,0,0,0,-1.63544386166889,"CN14-030"
"303","CN14-036",2014,"Male","J",28,0,0,0,-0.28657404810018,"CN13-112"
"304","CN14-037",2014,"Male","J",23,0,0,0,-0.768313267231862,"CN13-066"
"305","CN14-038",2014,"Female","J",25,0,0,0,-0.575617579579189,"CN13-112"
"306","CN14-039",2014,"Male","J",NA,0,0,0,NA,"CN12-033"
"307","CN14-041",2014,"Female","J",25,0,0,0,-0.575617579579189,"CN14-075"
"308","CN14-043",2014,"Female","J",22,0,0,0,-0.864661111058199,"CN13-065"
"309","CN14-045",2014,"Male","A",36,0,0,0,0.484208702510512,"CN13-063"
"310","CN14-046",2014,"Female","J",22,0,0,0,-0.864661111058199,"CN13-119"
"311","CN14-047",2014,"Male","J",20,0,0,0,-1.05735679871087,"CN12-045"
"312","CN14-048",2014,"Male","J",14,0,0,0,-1.63544386166889,"CN13-015"
"313","CN14-049",2014,"Female","J",13,0,0,0,-1.73179170549523,"CN13-016"
"314","CN14-050",2014,"Female","J",32,0,0,0,0.0988173272051659,"CN13-116"
"315","CN14-052",2014,"Female","J",26,0,0,0,-0.479269735752853,"CN13-112"
"316","CN14-053",2014,"Female","J",24,0,0,0,-0.671965423405526,"CN13-098"
"317","CN14-054",2014,"Female","J",25,0,0,0,-0.575617579579189,"CN14-004"
"318","CN14-055",2014,"Female","J",23,1,0,2,-0.768313267231862,"CN14-002"
"319","CN14-056",2014,"Female","J",34,1,0,2,0.291513014857839,"CN14-030"
"320","CN14-057",2014,"Male","J",32,0,0,0,0.0988173272051659,"CN13-044"
"321","CN14-058",2014,"Female","J",34,0,0,0,0.291513014857839,"CN13-083"
"322","CN14-059",2014,"Female","J",23,0,0,0,-0.768313267231862,"CN13-002"
"323","CN14-060",2014,"Male","J",18,0,0,0,-1.25005248636354,"CN13-114"
"324","CN14-061",2014,"Female","J",24,1,0,2,-0.671965423405526,"CN13-002"
"325","CN14-062",2014,"Male","J",34,0,0,0,0.291513014857839,"CN14-003"
"326","CN14-063",2014,"Male","J",24,0,0,0,-0.671965423405526,"CN14-004"
"327","CN14-064",2014,"Male","J",28,0,0,0,-0.28657404810018,NA
"328","CN14-065",2014,"Female","J",30,0,0,0,-0.093878360447507,"CN13-080"
"329","CN14-066",2014,"Male","J",18,0,0,0,-1.25005248636354,"CN14-028"
"330","CN14-067",2014,"Male","J",22,0,0,0,-0.864661111058199,"CN14-028"
"331","CN14-068",2014,"Male","J",18,0,0,0,-1.25005248636354,"CN13-045"
"332","CN14-069",2014,"Female","J",23,1,0,2,-0.768313267231862,"CN13-074"
"333","CN14-070",2014,"Female","J",24,0,0,0,-0.671965423405526,"CN13-080"
"334","CN14-071",2014,"Male","J",28,0,0,0,-0.28657404810018,NA
"335","CN14-072",2014,"Male","J",31,0,0,0,0.00246948337882945,"CN13-035"
"336","CN14-073",2014,"Male","J",19,0,0,0,-1.15370464253721,"CN13-116"
"337","CN14-074",2014,"Female","J",24,1,0,2,-0.671965423405526,"CN13-063"
"338","CN14-075",2014,"Female","A",32,0,3,3,0.0988173272051659,"CN12-035"
"339","CN14-076",2014,"Male","J",23,0,0,0,-0.768313267231862,"CN13-119"
"340","CN14-077",2014,"Male","J",30,1,0,2,-0.093878360447507,"CN13-119"
"341","CN14-078",2014,"Female","J",30,0,0,0,-0.093878360447507,"CN13-055"
"342","CN14-079",2014,"Female","J",26,1,0,2,-0.479269735752853,"CN12-045"
"343","CN14-080",2014,"Female","J",28,1,0,2,-0.28657404810018,"CN13-057"
"344","CN14-081",2014,"Male","J",26,0,0,0,-0.479269735752853,"CN13-057"
"345","CN14-082",2014,"Female","J",21,1,0,2,-0.961008954884535,"CN13-016"
"346","CN14-084",2014,"Female","J",23,1,0,2,-0.768313267231862,"CN13-016"
"347","CN14-085",2014,"Male","J",31,0,0,0,0.00246948337882945,NA
"348","CN14-086",2014,"Female","J",27,0,0,0,-0.382921891926516,"CN13-016"
"349","CN14-087",2014,"Female","J",29,1,0,2,-0.190226204273843,NA
"350","CN14-088",2014,"Female","J",26,1,0,2,-0.479269735752853,"CN13-015"
"351","CN14-089",2014,"Female","J",25,1,0,2,-0.575617579579189,"CN12-033"
"352","CN14-090",2014,"Female","J",24,1,0,2,-0.671965423405526,"CN13-114"
"353","CN14-091",2014,"Female","J",29,0,0,0,-0.190226204273843,NA
"354","CN14-098",2014,"Male","A",32,0,1,1,0.0988173272051659,NA
"355","CN14-092",2014,"Female","J",23,0,0,0,-0.768313267231862,"CN12-045"
"356","CN14-093",2014,"Female","J",29,0,0,0,-0.190226204273843,"CN13-045"
"357","CN14-094",2014,"Female","J",26,1,0,2,-0.479269735752853,"CN13-044"
"358","CN14-096",2014,"Male","J",30,0,0,0,-0.093878360447507,"CN13-002"
"359","CN14-097",2014,"Female","J",35,0,0,0,0.387860858684175,"CN13-083"
"360","CN14-099",2014,"Female","J",26,1,0,2,-0.479269735752853,NA
"361","CN14-100",2014,"Male","J",28,0,0,0,-0.28657404810018,"CN13-065"
"362","CN14-101",2014,"Male","J",21,1,0,2,-0.961008954884535,"CN13-098"
"363","CN14-102",2014,"Male","J",18,0,0,0,-1.25005248636354,"CN13-114"
"364","CN14-103",2014,"Female","J",29,1,0,2,-0.190226204273843,"CN13-057"
"365","CN14-104",2014,"Female","J",27,1,0,2,-0.382921891926516,"CN13-112"
"366","CN14-107",2014,"Female","J",21,1,0,2,-0.961008954884535,"CN13-119"
"367","CN14-108",2014,"Male","J",24,0,0,0,-0.671965423405526,"CN13-066"
"368","CN14-110",2014,"Male","A",45,0,6,6,1.35133929694754,NA
