"","id","year","sex","age","mass","survival","reproduction","fitness","StMass","mother"
"144","CN12-060",2012,"Female","J",19,0,0,0,-1.15370464253721,"CN12-001"
"145","CN12-062",2012,"Female","J",24,0,0,0,-0.671965423405526,"CN11-031"
"146","CN12-063",2012,"Male","J",35,0,0,0,0.387860858684175,"CN12-030"
"147","CN13-001",2013,"Male","A",39,0,1,1,0.773252233989521,"CN11-004"
"148","CN13-002",2013,"Female","A",37,1,8,10,0.580556546336848,"CN12-004"
"149","CN13-002",2014,"Female","A",45,0,4,4,1.35133929694754,"CN12-004"
"150","CN13-004",2013,"Female","A",35,0,0,0,0.387860858684175,NA
"151","CN13-005",2013,"Female","A",42,1,5,7,1.06229576546853,"CN11-031"
"152","CN13-005",2014,"Female","A",44,0,1,1,1.2549914531212,"CN11-031"
"153","CN13-008",2013,"Male","A",45,0,9,9,1.35133929694754,NA
"154","CN13-009",2013,"Male","J",21,0,0,0,-0.961008954884535,"CN12-019"
"155","CN13-010",2013,"Male","J",19,0,0,0,-1.15370464253721,"CN12-053"
"156","CN13-015",2013,"Female","A",41,1,0,2,0.965947921642194,"CN12-030"
"157","CN13-015",2014,"Female","A",48,0,2,2,1.64038282842655,"CN12-030"
"158","CN13-016",2013,"Female","A",35,1,2,4,0.387860858684175,"CN10-069"
"159","CN13-016",2014,"Female","A",37,1,4,6,0.580556546336848,"CN10-069"
"160","CN13-012",2013,"Male","A",44,0,2,2,1.2549914531212,NA
"161","CN13-017",2013,"Male","A",49,0,1,1,1.73673067225289,NA
"162","CN13-018",2013,"Male","A",52,0,3,3,2.02577420373189,NA
"163","CN13-019",2013,"Male","A",45,0,13,13,1.35133929694754,NA
"164","CN13-020",2013,"Female","J",28,1,3,5,-0.28657404810018,"CN13-002"
"165","CN13-020",2014,"Female","A",38,0,1,1,0.676904390163184,"CN13-002"
"166","CN13-022",2013,"Female","A",48,0,4,4,1.64038282842655,NA
"167","CN13-024",2013,"Male","J",21,0,0,0,-0.961008954884535,"CN13-005"
"168","CN13-025",2013,"Male","J",12,0,0,0,-1.82813954932156,"CN13-002"
"169","CN13-027",2013,"Male","A",48,0,2,2,1.64038282842655,NA
"170","CN13-028",2013,"Female","A",39,0,1,1,0.773252233989521,NA
"171","CN13-030",2013,"Female","A",42,0,1,1,1.06229576546853,NA
"172","CN13-032",2013,"Male","J",29,0,0,0,-0.190226204273843,"CN12-053"
"173","CN13-033",2013,"Male","A",47,0,10,10,1.54403498460021,NA
"174","CN13-034",2013,"Female","J",17,0,0,0,-1.34640033018988,"CN12-003"
"175","CN13-035",2013,"Female","J",28,1,1,3,-0.28657404810018,"CN12-032"
"176","CN13-035",2014,"Female","A",39,0,1,1,0.773252233989521,"CN12-032"
"177","CN13-036",2013,"Male","J",19,1,0,2,-1.15370464253721,"CN12-053"
"178","CN13-036",2014,"Male","A",51,0,0,0,1.92942635990556,"CN12-053"
"179","CN13-037",2013,"Male","J",17,0,0,0,-1.34640033018988,"CN12-053"
"180","CN13-038",2013,"Male","A",42,0,4,4,1.06229576546853,NA
"181","CN13-039",2013,"Female","J",12,0,0,0,-1.82813954932156,"CN12-044"
"182","CN13-040",2013,"Female","J",33,0,1,1,0.195165171031502,"CN13-F1"
"183","CN13-041",2013,"Male","J",28,1,0,2,-0.28657404810018,"CN13-F2"
"184","CN13-041",2014,"Male","A",38,0,1,1,0.676904390163184,"CN13-F2"
"185","CN13-042",2013,"Male","J",27,0,0,0,-0.382921891926516,"CN13-F2"
"186","CN13-044",2013,"Female","J",36,1,1,3,0.484208702510512,"CN13-005"
"187","CN13-044",2014,"Female","A",40,0,3,3,0.869600077815857,"CN13-005"
"188","CN13-045",2013,"Female","J",20,1,0,2,-1.05735679871087,"CN13-002"
"189","CN13-045",2014,"Female","A",33,0,3,3,0.195165171031502,"CN13-002"
"190","CN13-046",2013,"Female","A",40,0,0,0,0.869600077815857,"CN12-004"
"191","CN13-048",2013,"Female","J",31,1,0,2,0.00246948337882945,"CN13-005"
