"","Sex","BloodNumber","Site","BCestimate","angles","Season1","log_T_vol","t.bodyratio"
"1","1","TKN-19","A",-0.0517902196584719,-0.600214280548368,6.12303176911189e-17,3.9199747802673,0.0011592879856421
"2","1","TKN-02","A",-0.0327449822657364,0.76235363884839,-1.83690953073357e-16,5.13392204762545,0.0177190733032273
"3","1","TKN-83","A",0.0178895114069424,0.794657851737625,1,3.01618913321915,0.000142605131861497
"4","1","TKN-16","A",0.129587223242323,0.824854774859424,-1.83690953073357e-16,3.34296048474906,0.00025500170796727
"5","1","TKN-33","A",0.0346564715676647,0.975200040244583,1,2.49851731146163,4.06563587546604e-05
"6","1","TKN-33","A",-0.17201765672307,-0.653680474772006,6.12303176911189e-17,4.74907691469197,0.00958721230562502
"7","1","TKN-48","A",0.160794094556431,0.96702772479132,1,4.13798760889754,0.0015604653294907
"8","1","TKN-56","A",-0.0878062853747543,0.96702772479132,1,4.57119838940913,0.00399460251196461
"9","1","TKN-07","A",0.0804303306630791,0.804961707582196,-1.83690953073357e-16,3.94441983155883,0.00113982707314927
"10","1","TKN-07","A",0.0711383779300241,-0.85286433140216,6.12303176911189e-17,4.96267575740668,0.0110934641842571
"11","1","TKN-21","A",0.0617155147009134,-0.613856141822612,6.12303176911189e-17,2.71675647720813,6.89074945120185e-05
"12","1","TKN-21","A",0.0344073069666637,-0.627317096874294,-1,3.389402930246,0.000309908673412008
"13","1","TKN-21","A",0.0425633551030473,0.78411980657671,-1.83690953073357e-16,4.02183329988482,0.00131605242383326
"14","1","WIL-05","B",0.103620922578807,0.88668031802274,-1.83690953073357e-16,3.97272085006398,0.00101369460498153
"15","1","WIL-07","B",0.193022783950351,-0.861701759948068,6.12303176911189e-17,4.53350607612062,0.00352395222750861
"16","1","WIL-20","B",0.0798627255709008,0.653680474772006,1,3.26406098666479,0.00023486629888845
"17","1","WIL-20","B",0.100651961689046,-0.894487082228795,6.12303176911189e-17,4.01004890548019,0.00123849797315025
"18","1","WIL-21","B",-0.00725472251741399,0.627317096874294,1,3.56079961108105,0.000425725714076066
"19","1","WIL-21","B",-0.118833945044125,-0.88668031802274,6.12303176911189e-17,4.33285623799486,0.0028951456627927
"20","1","WIL-10","B",-0.0866343938189156,0.894487082228795,-1.83690953073357e-16,5.04243463233954,0.0155925007222828
"22","1","WIL-29","B",-0.193421161615461,0.894487082228795,-1.83690953073357e-16,5.04368906496844,0.0203467846260449
"23","1","TKN-72","A",-0.210605650629571,0.627317096874294,1,4.80452042363474,0.011826633908575
"24","1","WIL-33","B",-0.032423221089124,-0.88668031802274,6.12303176911189e-17,5.08027455029762,0.0145937867708231
"25","1","WIL-62","B",-0.0425956967227084,0.572403972737815,1,2.30545487034227,2.5716121875174e-05
"26","1","TKN-36","A",0.276433499276938,-0.843775559823186,6.12303176911189e-17,4.09230935343088,0.00151384486308441
"27","1","WIL-61","B",0.0301426249393362,0.572403972737815,1,4.32293590391885,0.00257740903765047
"28","1","TKN-84","A",-0.0196299933398636,-0.613856141822612,-1,4.16900804277655,0.00211250163048617
